id,name,absolute_magnitude,is_potentially_hazardous_asteroid,diameter_km_min,diameter_km_max,close_approach_date,rel_km_s,miss_km
2004487,4487 Pocahontas (1987 UA),17.48,False,0.8483107619,1.8968805296,,,
2004596,4596 (1981 QB),16.45,False,1.3631855586,3.0481755751,1904-09-02,24.5809417261,60342675.162214346
2004954,4954 Eric (1990 SQ),12.56,False,8.1762653336,18.282685088,1939-10-06,12.5268736975,10542556.268804895
2004957,4957 Brucemurray (1990 XJ),15.05,False,2.5974965333,5.8081788198,1939-05-07,15.3287034083,11941824.613303438
2005143,5143 Heracles (1991 VL),14.05,False,4.1167545731,9.2053430721,1903-12-22,6.0575970375,270323268.96076936
2005324,5324 Lyapunov (1987 SL),15.35,False,2.2623249055,5.058712276,1911-08-31,12.3930949799,27428041.281907987
2005381,5381 Sekhmet (1991 JY),16.72,False,1.2038017674,2.6917825833,1908-05-16,23.1073815979,19772805.50974118
2004544,4544 Xanthus (1989 FB),17.37,False,0.8923905787,1.9954459964,1902-07-03,8.2268602192,9723899.24866324
2004660,4660 Nereus (1982 DB),18.75,True,0.4726666672,1.0569147985,1900-01-29,5.5448650497,3111379.539567199
2004688,4688 (1980 WF),19.6,False,0.3195618867,0.7145621017,1940-11-17,15.9605599715,59574121.70004968
2005189,5189 (1990 UQ),17.84,True,0.7187121332,1.607089186,1901-03-25,10.9407215961,5402908.38766844
2005332,5332 Davidaguilar (1990 DA),14.96,False,2.7074159094,6.0539660169,,,
2005370,5370 Taranis (1986 RA),15.23,False,2.3908645717,5.3461357073,2099-09-10,13.2119140871,19827641.581375834
2005496,5496 (1973 NA),16.15,False,1.5651464359,3.4997738255,1916-07-03,38.1146531429,11447618.191258805
2005604,5604 (1992 FE),17.38,True,0.8882904164,1.9862777548,1901-02-26,14.8771271924,15099448.370037582
2004581,4581 Asclepius (1989 FC),20.74,True,0.1890405519,0.4227075246,1901-06-27,12.6417912422,16533200.938423863
2004953,4953 (1990 MU),14.88,True,2.8090209395,6.2811617709,1919-11-18,19.0153088782,18036378.617043577
2005131,5131 (1990 BG),14.83,False,2.8744514425,6.4274688236,1928-11-01,27.1762444011,7271391.827722388
2005626,5626 Melissabrucker (1991 FE),14.33,False,3.618719966,8.0917038355,1928-06-27,9.4547107161,6958019.68492843
2005653,5653 Camarillo (1992 WD5),16.22,False,1.5154966357,3.3887534971,1916-07-19,8.7217307926,14848700.1096741
2005828,5828 (1991 AM),15.96,False,1.7082639526,3.8197943216,,,
2005863,5863 Tara (1983 RB),15.84,False,1.8053232555,4.0368255207,1947-04-21,13.4700569439,7588231.843620177
2006063,6063 Jason (1984 KB),16.02,False,1.6617090174,3.7156943217,1901-08-24,29.7121736225,21335019.235155586
2006178,6178 (1986 DA),15.71,False,1.9167036797,4.2858797205,2038-04-07,4.8577825038,29624429.35535981
2006239,6239 Minos (1989 QF),18.6,True,0.5064714588,1.1325046106,1900-08-23,18.6113982988,29226838.189450677
2006455,6455 (1992 HE),14.08,False,4.0602705828,9.0790410302,,,
2007025,7025 (1993 QA),18.08,False,0.6435095206,1.4389310323,1900-12-04,14.1747874596,62034342.86588092
2007092,7092 Cadmus (1992 LC),15.12,False,2.5150983749,5.6239309364,1923-12-13,21.6104270775,19256880.334291864
2007336,7336 Saunders (1989 RS1),18.8,False,0.4619074603,1.0328564805,1968-09-15,5.4138308985,29293055.816632804
2007341,7341 (1991 VK),16.96,True,1.0778416872,2.4101272816,1961-11-19,12.8332105374,19205793.738791525
2007822,7822 (1991 CS),17.34,True,0.9048049682,2.0232054153,1915-09-02,19.0319360269,14008925.001495387
2005660,5660 (1974 MA),15.38,False,2.2312846442,4.9893041415,1900-07-23,37.2393525232,47210761.345604055
2005731,5731 Zeus (1988 VP4),15.47,False,2.1406958967,4.7867415442,1926-01-25,5.3857473367,265530114.0562068
2006489,6489 Golevka (1991 JX),19.22,True,0.3806755436,0.8512163929,1926-08-01,11.7428781705,12929666.158086961
2006569,6569 Ondaatje (1993 MO),16.63,False,1.2547435637,2.8056919027,,,
2006611,6611 (1993 VW),16.82,False,1.1496217629,2.5706324102,1918-12-22,13.3667162158,19339110.573403686
2007236,7236 (1987 PA),18.32,False,0.5761757511,1.2883681464,1906-07-23,10.6587108563,26499860.609342787
2007335,7335 (1989 JA),17.7,True,0.7665755735,1.7141150923,1916-05-20,14.9390177349,9668054.782666275
2007358,7358 Oze (1995 YA3),14.72,False,3.0238133257,6.7614521476,1972-09-15,5.2769368986,18502379.467723947
2007474,7474 (1992 TC),18.11,False,0.634680239,1.4191881584,1945-09-26,2.544989556,25755122.215535115
2007480,7480 Norwan (1994 PC),17.24,False,0.9474471126,2.118556149,1901-01-21,8.4548434115,13483503.966609739
2005646,5646 (1990 TR),15.51,False,2.1016237932,4.6993736648,,,
2005693,5693 (1993 EA),16.78,True,1.1709948272,2.6184240349,1902-01-05,25.3294983456,20577254.412340436
2005751,5751 Zao (1992 AC),14.94,False,2.7324673204,6.1099826748,,,
2006047,6047 (1991 TB1),17.84,False,0.7187121332,1.607089186,1935-10-19,21.2944486197,68292739.43384267
2006050,6050 Miwablock (1992 AE),14.94,False,2.7324673204,6.1099826748,2011-09-02,6.7073937766,10870276.193712682
2006053,6053 (1993 BW3),15.1,False,2.5383702936,5.6759685287,1964-01-26,15.7790449015,5710526.697186458
2007753,7753 (1988 XB),18.01,True,0.6645917971,1.4860724357,1901-06-22,15.7624761233,12475400.587117676
2005786,5786 Talos (1991 RC),17.14,False,0.9920989194,2.2184006242,,,
2005797,5797 Bivoj (1980 AA),18.89,False,0.4431543091,0.9909231597,1954-01-22,6.5462276888,15718713.031401664
